Country,Time,10-Year Gov Bond Yields (%),Call Money/Interbank Immediate (%)
JP,2017-06,0.075,-0.055999999999999994
JP,2017-07,0.075,-0.054000000000000006
JP,2017-08,0.01,-0.049
JP,2017-09,0.06,-0.057999999999999996
JP,2017-10,0.065,-0.037000000000000005
JP,2017-11,0.035,-0.048
JP,2017-12,0.045,-0.042
JP,2018-01,0.08,-0.04
JP,2018-02,0.045,-0.042
JP,2018-03,0.045,-0.062
JP,2018-04,0.05,-0.063
JP,2018-05,0.03,-0.061
JP,2018-06,0.03,-0.071
JP,2018-07,0.06,-0.07
JP,2018-08,0.11,-0.059000000000000004
JP,2018-09,0.125,-0.057999999999999996
JP,2018-10,0.13,-0.06
JP,2018-11,0.085,-0.071
JP,2018-12,-0.01,-0.068
JP,2019-01,0.0,-0.064
JP,2019-02,-0.015,-0.055
JP,2019-03,-0.095,-0.040999999999999995
JP,2019-04,-0.045,-0.067
JP,2019-05,-0.095,-0.049
JP,2019-06,-0.165,-0.062
JP,2019-07,-0.16,-0.071
JP,2019-08,-0.28,-0.045
JP,2019-09,-0.215,-0.059000000000000004
JP,2019-10,-0.15,-0.021
JP,2019-11,-0.08,-0.043
JP,2019-12,-0.025,-0.038
JP,2020-01,-0.065,-0.032
JP,2020-02,-0.155,-0.016
JP,2020-03,0.005,-0.047
JP,2020-04,-0.04,-0.036000000000000004
JP,2020-05,0.0,-0.047
JP,2020-06,0.03,-0.048
JP,2020-07,0.01,-0.027999999999999997
JP,2020-08,0.045,-0.035
JP,2020-09,0.015,-0.054000000000000006
JP,2020-10,0.04,-0.02
JP,2020-11,0.03,-0.032
JP,2020-12,0.02,-0.026000000000000002
JP,2021-01,0.055,-0.017
JP,2021-02,0.15,-0.016
JP,2021-03,0.12,-0.017
JP,2021-04,0.09,-0.012
JP,2021-05,0.08,-0.017
JP,2021-06,0.05,-0.028999999999999998
JP,2021-07,0.015,-0.036000000000000004
JP,2021-08,0.02,-0.034
JP,2021-09,0.065,-0.022000000000000002
JP,2021-10,0.095,-0.027000000000000003
JP,2021-11,0.05,-0.039
JP,2021-12,0.07,-0.026000000000000002
JP,2022-01,0.17,-0.02
JP,2022-02,0.18,-0.018000000000000002
JP,2022-03,0.21,-0.008
JP,2022-04,0.215,-0.012
JP,2022-05,0.235,-0.018000000000000002
JP,2022-06,0.225,-0.038
JP,2022-07,0.18,-0.012
JP,2022-08,0.22,-0.018000000000000002
JP,2022-09,0.24,-0.049
JP,2022-10,0.245,-0.05
JP,2022-11,0.25,-0.067
JP,2022-12,0.41,-0.07
JP,2023-01,0.49,-0.02
JP,2023-02,0.5,-0.019
JP,2023-03,0.32,-0.017
JP,2023-04,0.385,-0.015
JP,2023-05,0.43,-0.051
JP,2023-06,0.395,-0.066
JP,2023-07,0.595,-0.046
JP,2023-08,0.64,-0.064
JP,2023-09,0.765,-0.054000000000000006
JP,2023-10,0.95,-0.02
JP,2023-11,0.66,-0.015
JP,2023-12,0.62,-0.012
JP,2024-01,0.73,-0.013999999999999999
JP,2024-02,0.71,-0.006
JP,2024-03,0.725,0.022000000000000002
JP,2024-04,0.87,0.077
JP,2024-05,1.07,0.077
JP,2024-06,1.05,0.077
JP,2024-07,1.045,0.078
JP,2024-08,0.89,0.22699999999999998
JP,2024-09,0.855,0.22699999999999998
JP,2024-10,0.935,0.22699999999999998
JP,2024-11,1.05,0.22699999999999998
JP,2024-12,1.09,0.22699999999999998
JP,2025-01,1.245,0.293
JP,2025-02,1.37,0.478
JP,2025-03,1.485,0.47700000000000004
JP,2025-04,1.31,0.47700000000000004
JP,2025-05,1.5,0.47700000000000004
JP,2025-06,1.42,0.47700000000000004
JP,2025-07,1.545,0.478
JP,2025-08,1.6,0.47700000000000004
JP,2025-09,1.645,0.47700000000000004
